"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"11845" NA NA NA NA 0 0 NA 0 0 NA NA NA
"11864" NA NA NA 0 NA NA NA NA NA NA NA NA
"11865" NA NA NA NA NA NA NA NA NA NA 1 NA
"11879" NA NA NA NA NA 0 NA NA NA NA NA NA
"11882" NA NA NA NA NA NA 0 0 NA NA NA NA
"11883" 0 NA NA NA NA NA 0 NA NA NA 0 NA
"11884" NA NA NA NA NA NA NA 1 NA NA NA NA
"11885" NA NA NA NA 0 0 NA 0 0 NA NA NA
"11886" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11887" NA NA NA NA 0 0 NA 0 0 NA NA NA
"11903" NA NA NA 1 NA NA NA NA NA NA NA NA
"11908" NA NA NA NA 1 NA NA NA NA NA NA NA
"11913" NA NA NA 0 NA NA NA NA NA NA NA NA
"11924" NA NA NA NA NA 0 NA 0 0 NA 0 NA
"11925" NA NA NA 0 NA NA 0 0 0 0 NA NA
"11926" NA NA NA NA 1 0 NA 1 NA NA NA NA
"11927" NA NA NA NA 1 0 NA 0 NA 0 0 NA
"11928" NA NA NA NA 0 0 NA 0 0 NA NA NA
"11929" NA NA NA NA 0 0 NA 0 0 NA NA NA
"11930" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11945" NA NA NA 0 NA NA NA NA NA 0 NA NA
"11946" NA NA NA 1 NA NA NA NA NA NA NA NA
"11947" NA NA NA 0 NA NA NA NA NA NA NA NA
"11948" NA 0 NA NA NA NA NA NA NA NA NA NA
"11955" NA NA NA NA 1 NA NA NA NA NA NA NA
"11966" NA NA NA 0 NA 0 NA NA NA NA NA NA
"11967" NA NA NA NA NA NA 0 0 NA NA NA NA
"11968" NA NA NA NA 1 0 NA 0 NA NA NA NA
"11969" NA NA NA 0 NA 1 0 1 0 0 NA NA
"11970" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11971" NA NA NA NA 1 0 NA 0 0 NA NA NA
"11972" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11989" NA NA NA 1 NA NA NA NA NA NA NA NA
"11990" NA NA NA 0 NA 0 NA NA NA NA NA NA
"11992" NA NA NA NA 1 NA NA NA NA NA NA NA
"11993" NA NA 0 NA NA NA NA NA NA NA NA NA
"11996" NA NA NA 0 NA NA NA NA NA NA NA NA
"11997" NA NA 0 0 NA NA NA NA NA NA NA NA
"12008" NA NA NA NA NA NA NA 0 NA NA NA NA
"12009" NA NA NA NA NA 0 0 0 0 0 NA NA
"12010" NA NA NA NA 1 0 0 1 0 NA 0 NA
"12011" NA NA NA NA 1 0 NA 0 NA NA NA NA
"12012" NA NA NA NA 0 0 NA 0 NA NA NA NA
"12013" NA NA NA NA 0 0 NA 0 NA NA NA NA
"12027" NA NA NA 0 NA NA NA NA NA NA NA NA
"12029" NA NA NA 1 NA NA NA NA NA NA NA NA
"12030" NA NA NA 1 NA NA NA NA NA NA NA NA
"12032" NA NA NA NA 1 NA NA NA NA 1 NA NA
"12034" NA NA NA NA 1 NA NA NA NA NA NA NA
"12039" NA 1 NA NA NA NA NA NA NA NA NA NA
"12040" NA NA NA 0 NA 1 NA NA NA NA NA NA
"12046" NA NA NA NA NA NA NA 0 NA NA NA NA
"12048" NA NA NA 1 NA NA 1 0 NA NA NA NA
"12049" NA NA NA NA NA NA 0 0 0 NA 0 NA
"12050" NA NA NA NA NA NA NA 0 0 NA NA NA
"12051" NA NA NA NA 1 1 NA 0 NA NA NA NA
"12052" NA NA NA NA 0 0 NA 0 NA NA NA NA
"12072" NA 0 NA NA NA NA NA NA NA NA NA NA
"12073" NA NA NA 0 NA NA NA NA NA NA NA NA
"12087" NA NA NA NA NA NA 0 0 NA NA NA NA
"12088" NA NA NA NA NA NA 0 NA 0 NA 0 NA
"12089" NA NA NA NA 1 0 NA 0 0 NA 1 NA
"12090" NA NA NA NA 1 1 NA 0 NA NA NA NA
"12091" 0 NA NA NA 0 1 NA 1 NA NA NA NA
"12092" NA NA NA NA NA NA NA NA 0 NA NA NA
"12115" NA NA NA 1 NA NA NA NA NA NA NA NA
"12122" NA NA NA NA NA NA NA NA NA 0 NA NA
"12126" 0 NA NA NA NA NA 0 NA NA 0 NA NA
"12127" NA NA NA 0 NA NA 0 NA NA NA NA NA
"12128" NA NA NA NA NA NA NA 0 0 NA NA NA
"12129" NA NA NA NA NA NA 0 0 NA NA NA NA
"12130" NA NA NA 1 1 1 NA 1 NA NA 1 NA
"12131" NA NA NA NA 0 1 NA 0 NA NA NA NA
"12132" NA NA NA NA 0 0 NA 0 0 NA NA NA
"12150" NA NA NA NA 1 NA NA NA NA NA NA NA
"12155" NA NA NA 0 NA NA NA NA NA NA NA NA
"12158" 0 NA NA NA NA NA NA NA NA NA NA NA
"12165" NA NA NA 0 NA NA NA NA NA NA NA NA
"12168" NA NA NA NA NA 0 NA 0 0 NA NA NA
"12169" NA NA NA NA 1 1 NA 0 NA NA 1 NA
"12170" NA NA NA NA 0 0 NA 1 NA NA NA NA
"12171" NA NA NA NA NA NA NA 0 NA NA NA NA
"12172" NA NA NA NA 0 0 NA NA NA NA NA NA
"12206" 0 NA NA NA NA NA NA 0 NA NA NA NA
"12207" NA NA NA NA NA NA NA 0 NA NA NA NA
"12208" NA NA NA NA NA NA NA 0 NA NA NA NA
"12209" NA NA NA NA NA NA 0 0 0 NA NA NA
"12210" 0 NA NA 0 1 1 NA 0 0 1 NA 0
"12211" NA NA NA NA 0 0 NA 0 NA NA NA NA
"12212" NA NA NA NA 0 0 NA 0 NA NA NA NA
"12231" NA NA NA NA 1 NA NA NA NA NA NA NA
"12232" NA NA NA NA 0 NA NA NA NA NA NA NA
"12242" NA NA 0 NA NA NA NA NA NA NA NA NA
"12244" NA NA NA 0 NA NA NA NA NA NA NA NA
"12246" NA NA NA NA NA NA 0 NA NA NA NA NA
"12248" NA NA NA NA NA NA NA 0 NA NA NA NA
"12249" NA NA NA NA NA 1 NA 0 NA NA NA NA
"12250" NA NA NA NA NA 0 NA 0 NA NA NA NA
"12251" NA NA NA NA 0 0 NA 0 NA NA NA NA
"12252" NA NA NA NA NA NA NA 0 NA NA NA NA
"12253" NA NA NA NA 0 0 NA NA NA NA NA NA
"12254" NA NA NA NA 0 NA NA NA NA NA NA NA
